[0.8584599058862075, -0.2307222004955174]
[0.7249505669116512, -0.45168187903255286]
[0.21328005699814204, -0.9347213081633378]
[0.3121429769191892, 0.0870482323334077]
[0.46223330949828767, -0.5771466658197698]
[-0.17005199631905688, -0.6633876489561025]
[0.1640196401516689, -0.7652044406819426]
[0.5361374381717382, 0.1411695440411014]
[0.3240881506748382, -0.45824094942094934]
[-0.16994717132487464, 0.04943923995874254]
[0.4992555915344651, -0.9347213081633378]
[0.24903833042148832, -0.9347213081633378]
[0.2271795605820154, -0.6877407901730264]
[0.21328005699814204, 0.0590101074691409]
[0.03820032545630159, -0.669902733872576]
[0.45889796877430766, -0.7558386337535955]
[0.6203626684377477, 0.0986694082095737]
[0.1799250361440591, 0.13470700004392303]
[0.03820032545630159, -0.1969256294611092]
[0.4547049690070185, 0.018811071419510217]
[-0.19367256167478547, 0.3894967839823422]
[0.1640196401516689, -0.11498600481845513]
[0.7765100496870271, 0.3894967839823422]
[0.5612564925051885, 0.012189318783518175]
[0.3596929626251601, -0.5619085170217076]
[0.724961408206297, 0.13170989741825573]
[0.18838185475565625, -0.9347213081633378]
[0.34268926481663475, -0.9347213081633378]
[0.6710546417822504, 0.17670117323355317]
[-0.02979615410323664, -0.1969256294611092]
[0.3719320476749782, -0.8024186904962176]
[0.13702953253168076, -0.8647199231542794]
[0.45889796877430766, -0.8780201863060004]
[0.3597907015474744, -0.07326166523287034]
[0.2542488058203812, 0.17197220989000517]
[0.20743349237242434, 0.01795357827240333]
[0.3608656342150883, -0.6537698034648199]
[0.7863366295005899, 0.1527928108864432]
[0.7524079524845443, -0.11607023386649246]
[-0.06501735214846505, 0.10123505677328175]
[0.16468412419186415, -0.14122233494404468]
[0.5612564925051885, -0.9347213081633378]
[0.4599993195574606, -0.9347213081633378]
[0.641278266623241, -0.6697510627972155]
[-0.2373780809105442, -0.20626230067785786]
[0.7023650625416112, -0.13443520387059035]
[0.8242460603856511, -0.9347213081633378]
[0.8665507239274141, -0.02375733838329551]
[0.4903454670289757, -0.8493801601906729]
[0.46150694640728734, 0.0017837074983878933]
[0.6490367355938952, -0.07386035672119787]
[0.09123153482730187, -0.46831960075868384]
