[1.091267118227264, -0.9347213081633378]
[1.3774245219237913, -0.7698819340333243]
[2.4162020025012656, -0.9347213081633378]
[1.3341552854671095, 0.2566580723986651]
[1.3693224552829122, 0.2566580723986651]
[1.4859481037731679, -0.9347213081633378]
[2.150766604692841, -0.8646086331940106]
[2.2525700914479763, -0.33876357092405773]
[1.6166317934091305, -0.06769437791025763]
[1.3269381333641568, -0.5578183067741715]
[1.6026468376807463, -0.8602004982878831]
[0.9480812749580355, -0.9347213081633378]
[2.4155088976826735, 0.10893150973374288]
[0.9863651858767621, -0.7511167766443541]
[2.4162020025012656, -0.33876357092405773]
[1.0467400930118966, -0.8155297607154818]
[1.6166317934091305, 0.4728741093161045]
[1.4815134347465642, -0.7861903028821633]
[1.3945411482872891, 0.11840948778004737]
[1.6329379036152545, 0.39331232405153105]
[1.4737135333672176, 0.23616036382442407]
[2.2524536192322184, -0.1973285304665667]
[1.4619708087268004, -0.1973285304665667]
[1.5071479105965817, 0.37886887100157524]
[1.7877465230721783, 0.06545124215997557]
[1.9264478873254915, -0.2297419507328449]
[0.9467032938138561, -0.33876357092405784]
[1.3910214717290827, 0.23616036382442407]
[1.1604584176426787, -0.37857354777164176]
[1.257451498673448, -0.8353950186234578]
[1.1931989316049358, -0.27823661323569343]
[0.949517409434905, -0.9347213081633378]
[1.2869389082196103, 0.4448104910016622]
[1.1931989316049358, -0.9347213081633378]
[1.0635855274472419, -0.9347213081633378]
[0.9948291676991426, -0.9347213081633378]
[0.9925524846111016, -0.9347213081633378]
[2.4155088976826735, -0.9347213081633378]
[1.9240486231534732, -0.041618209629228034]
[1.4347233691615882, -0.7944959582246837]
[1.9211752528875832, 0.01788230611472171]
[1.1926729280498993, -0.9347213081633378]
[1.1902783244531958, 0.23616036382442407]
[2.2181976912233727, -0.9347213081633378]
[0.9460287575894324, -0.33876357092405773]
[1.188134113868813, -0.8117404340625152]
[1.189576831175319, 0.26802976153775454]
[1.3917070518635843, -0.6362943510194576]
[1.535101242378509, -0.7616097749652612]
[1.3078039485961708, 0.4728741093161045]
[1.3097523449327348, -0.40498109728397774]
[1.0905017311887413, -0.8804330460942126]
[2.2960340139238458, 0.6012522414224352]
[1.9909182883716705, -0.14030964442337754]
[2.221191106261401, -0.8155297607154818]
[0.9490042623281937, -0.8212509549929788]
[1.5667326441317424, -0.8264480704053617]
[1.188134113868813, -0.9347213081633378]
[2.4155088976826735, -0.7859955719673404]
[1.0861781551992824, -0.9347213081633378]
[1.3078039485961708, -0.9347213081633378]
[1.9291909712854003, -0.8213204431825841]
[2.192324615571914, -0.3486961998780458]
[1.1362287004133156, 0.07613219729137984]
[1.5101103560843403, -0.9347213081633378]
[2.4155088976826735, -0.8888784052987777]
[1.0851196121012852, -0.0782381727475188]
[1.0459179361947812, 0.25747728162982514]
[1.4274809150180885, -0.8464312730167778]
[1.5614880126595228, 0.019216484846203665]
[1.6026468376807463, 0.11509493407258303]
[1.7543069413603443, 0.18811171840666877]
[1.9264478873254915, 0.008754284603597317]
[2.221191106261401, 0.1972350037271239]
[1.6001626221009446, 0.03751497578825067]
[1.3394279199050179, -0.05439016833142395]
[1.2368419061810514, 0.18995790878053406]
[1.6001626221009446, -0.03990180195295224]
[1.7543069413603443, 0.17982421446310523]
[1.3908678139573274, -0.8779442534668929]
[1.5245781131175802, -0.9347213081633378]
[1.5595604076876952, -0.9347213081633378]
[1.3917070518635843, -0.8682562396488013]
[1.1940496165288408, -0.9347213081633378]
[2.3455801440637094, -0.8682562396488013]
[1.923711197500687, -0.14011099184429782]
[2.1508966983980256, -0.1993013521415324]
[2.4155088976826735, 0.3801104496208236]
[0.9475107987992205, -0.8552602765314338]
[2.4155088976826735, -0.5378919645644878]
[1.561350102710319, 0.3951158140763127]
[1.7168817589563823, -0.9347213081633378]
[1.5083613188893665, -0.9347213081633378]
[1.919889005007944, -0.9347213081633378]
[1.4409220264216418, -0.8020363779855357]
[1.2738773568763981, -0.9347213081633378]
