[0.3121429769191892, 0.14646966390390664]
[-0.21801903554170962, 0.20564969767662014]
[-0.18794060945667618, 0.18439828398978583]
[0.604597169321116, -0.02924047404496106]
[0.3608656342150883, 0.22258492189937837]
[-0.14575779165879818, -0.02179240286169602]
[0.07888756165324544, 0.3240322015545436]
[0.16468412419186415, -0.213069609680059]
[0.24835012178730687, 0.10854104381802776]
[-0.21801903554170962, 0.28466064483496295]
[0.12067039751818992, 0.9845484150143351]
[-0.2183702207842165, 0.04998406202867773]
[-0.18794060945667618, 0.8530168619961406]
[-0.18794060945667618, 0.41115235245428916]
[-0.2183702207842165, 0.7423537309765176]
[0.039382413651192855, -0.06085026369050386]
[0.5905547104385702, 0.9845484150143351]
[0.0775661001743937, -0.2603691115985602]
[0.3470523629724853, -0.2603691115985602]
[0.29469657928606324, 0.014652830077643323]
[-0.030285337409420313, 0.48678087876569165]
[-0.1053566813500811, -0.19220808095392722]
[-0.14598107172906397, -0.13432198697986256]
[-0.14598107172906397, 0.3240322015545436]
[0.039382413651192855, 0.9709480274559323]
[0.16468412419186415, -0.31974138377540284]
[0.45889796877430766, 1.5450074628509234]
[0.45889796877430766, 0.5600883195445591]
[-0.14598107172906397, 1.0170416486380307]
[0.46022008581804724, -0.18850354901150884]
[-0.2762111267908762, 0.40357881615124835]
[0.4633116527398751, 0.8486798010166973]
[0.6700287563130839, 0.89501831658326]
[0.4613236711190203, 1.0457817878354234]
[0.3198669238589322, 0.28690438391640194]
[0.20869273675902367, 0.8586530627782133]
[0.4601416551459612, 0.2806409963774971]
[0.46022008581804724, 0.8437444026449883]
[0.09081318733815986, 1.0549504211990084]
[0.45013647672325585, 0.8437444026449883]
[0.8895863399328915, 0.9370270608396807]
[0.5114477911853106, 1.0573182964820964]
[0.6490924382185409, 0.16850633744434187]
[0.019249610821789297, -0.2248260474767568]
[0.16768103181180705, 0.4682670363267304]
[0.7787564478906825, 0.6805510596868763]
[0.46202041540952293, 0.5150890639066172]
[-0.30897158456863505, -0.04441914657837677]
[0.12018744757269444, -0.11396254787060224]
[0.03929267652836237, 0.5621363779062951]
[-0.04315858230899214, -0.19535279381000506]
[0.5727596003860372, 1.0538175153523583]
[0.3254843398151091, -0.11951890869987625]
[0.5727596003860372, 1.125915643433159]
[0.5727596003860372, 0.4873645920274005]
[0.16538798506407087, -0.12780328270350383]
[0.45889796877430766, 2.201239496257151]
[-0.17086006907934806, 0.1633535198855246]
[0.01863299320895259, 0.3831854628950401]
[0.591836332897519, 0.06826705828961417]
[0.24835012178730687, 0.1134624219517585]
[0.1915275510433541, 0.30433395646007677]
[0.12110846165950921, -0.11467390293848213]
[0.276073738770933, 0.10826344428447901]
[0.12083736253662411, -0.11467390293848213]
[0.276073738770933, -0.09488330461155049]
[0.3608656342150883, -0.043353393529556326]
[0.12132759489971665, 1.449201655833179]
[0.3608656342150883, 0.5666165055725925]
[-0.0919976929587522, 0.005864087943013071]
[-0.03564625035389948, 0.21920778920083284]
[-0.10641268032440274, -0.01373621200878592]
[-0.06876042890701695, 0.5215516919880716]
[0.8071827029656801, 0.038521456907786966]
[0.3950914505764301, 0.3240322015545436]
[-0.2183702207842165, 0.559398522110224]
[0.08891003156210765, -0.37733377363833553]
[0.8071827029656801, -0.06560588690880016]
[0.3252127599088307, -0.29493152347233714]
[0.3950914505764301, -0.25207812840340554]
[0.3950914505764301, 1.2192217689632463]
[0.4575296238619055, 1.2192217689632463]
[0.45889796877430766, 0.7195312506478437]
[0.18999361244097707, 0.5621363779062951]
[0.6515701666699846, 0.5305962791355613]
[0.40164377912679505, 0.5501893707961684]
[0.4602695107542621, 1.0608790111935071]
[0.03756912119025807, 0.5973125039646442]
[-0.030969509865621414, 0.3233953524889361]
[0.5717864240474757, 0.5689929211173238]
[0.16538798506407087, -0.012813339268537446]
[0.09201048913651164, -0.003302892819028965]
[0.9026025144612673, 0.867238105832458]
[-0.10471710770375481, 0.421388687141896]
[0.6701009200155361, 0.18060292503451675]
