[-0.7475879827627373, -0.439465532737931]
[-0.7475879827627373, -0.6697519703202797]
[-0.258244536646048, -0.3245690981042895]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.7353983185694446]
[-0.7475879827627373, -0.8273068991106911]
[-0.7475879827627373, -0.8784612132257544]
[-0.7475879827627373, -0.9349120941639971]
[-0.5538895353415478, -0.4578623960943406]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.2526081805085764]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.40576719319593224, -0.9349120941639971]
[-0.7475879827627373, -0.5679507879565691]
[-0.7475879827627373, -0.8497587230585636]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.8356657408942609]
[-0.2490124995120622, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.4159762407776608, -0.815649669646583]
[-0.7475879827627373, -0.8223283654195581]
[-0.7475879827627373, -0.24822141549732357]
[-0.12790790977286784, -0.872175089600149]
[-0.28271170895188247, -0.4578623960943406]
[-0.31149391727413045, -0.9349120941639971]
[-0.3627313954275214, -0.7699746985548073]
[-0.7475879827627373, -0.8022803943003248]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.5671235907554179, -0.4653523068128256]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.06443646927725175, -0.872175089600149]
[-0.7475879827627373, -0.32043955693450205]
[-0.7475879827627373, -0.8753762918449041]
[-0.5529886123302865, -0.9349120941639971]
[-0.5151498458573098, -0.9349120941639971]
[-0.7475879827627373, -0.7457787542727444]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.9349120941639971]
[-0.6313689143100235, -0.9349120941639971]
[-0.19416384727362443, -0.9349120941639971]
[-0.7475879827627373, -0.33859997157692645]
[-0.7475879827627373, -0.8025983099824131]
[-0.4708759150181808, -0.5944906554451255]
[-0.7475879827627373, -0.7731538632093435]
[-0.5452357842459038, -0.39292051607722456]
[-0.7475879827627373, -0.8603469706040727]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.751198382493985]
[-0.7475879827627373, -0.33859997157692645]
[-0.3120929341225123, -0.9349120941639971]
[-0.7475879827627373, -0.33859997157692645]
[-0.39009812820218986, -0.45814839711236793]
[-0.304679947500871, -0.4682330417045505]
[-0.7475879827627373, -0.8610029860123602]
[-0.7475879827627373, -0.9349120941639971]
[-0.7475879827627373, -0.4163798136535009]
[-0.7475879827627373, -0.23075133378090548]
[-0.7475879827627373, -0.4648436111880429]
[-0.7475879827627373, -0.48034629579844323]
[-0.38991378071429944, -0.9349120941639971]
[-0.38991378071429944, -0.3649334631218299]
[-0.2105757354295084, -0.33838623963334685]
[-0.7475879827627373, -0.23323219845959942]
[-0.5523399477621783, -0.6963872451291688]
[-0.7475879827627373, -0.5021394638792489]
[-0.7475879827627373, -0.7790661038436952]
