[-1.2448504352518681, 1.4528241949641127]
[-0.9176264670465905, 1.789308797222474]
[-0.6050220510251756, 1.1857981095623154]
[-0.21373437418845817, 0.8483608937925146]
[-0.28104470657388103, 1.6191644195488872]
[-0.6424118033814912, 2.041918760669091]
[-0.42355616640292404, 1.6674105901595588]
[-0.4884928499070299, 0.4953124453238371]
[-0.5225962880063085, 0.6543204716164664]
[-0.9948835256624454, 0.6542410073354604]
[-0.3351044374928406, 1.6191644195488872]
[-0.5823428429714559, 1.9336159315290276]
[-0.2608839536523943, 1.1738151523734597]
[-0.1927159089286483, 1.4488838173935767]
[-1.4097528489724744, 2.044865924937164]
[-0.8378873882935219, 2.0501635436708843]
[-0.3202623355052532, 1.4488838173935767]
[-1.4097528489724744, 2.0737620271210955]
[-1.2447940326476996, 1.454413548288311]
[-0.29682193769075327, 1.6872766604110117]
[-0.6698935116901714, 0.7459755082024635]
[-1.2114993852859028, 2.1449909190044867]
[-0.24830633678971623, 1.021763306987339]
[-0.3870584800809221, 1.928441513230975]
[-0.42313529218227397, 0.9586041968482862]
[-1.4097528489724744, 0.9380420109276447]
[-1.4097528489724744, 2.0799236959691396]
[-0.3401141303787409, 1.4510123249205185]
[-0.9948835256624454, 0.6562276143606058]
[-1.1280313543901075, 2.049363903107304]
[-0.5405028382276519, 1.3921236166751394]
[-1.3124302945982202, 1.4513894478757419]
[-0.5481011774824143, 0.6333293544391941]
[-0.6211692392247714, 2.1306873484234403]
[-0.5233054459287435, 0.6578530201084518]
[-0.5481011774824143, 0.8893228386443198]
[-0.9949250125947764, 0.4726083650364625]
[-1.1140339953170857, 0.3930433262778961]
[-0.32545038556938277, 2.243526627451693]
[-0.11517375229472546, 1.4107409625107872]
[-0.17683270527077713, 1.4886159578964826]
[-0.42471751250065176, 0.6288124374136005]
[-0.6112715453524257, 0.7650727676856713]
[-0.7244190092966649, 0.44454359912567976]
[-0.8414512723609066, 0.9437180309994886]
[-0.32928826686682283, 0.9542186681323993]
[-0.4729918351350821, 2.2439239488567218]
[-1.4097528489724744, 0.4726083650364625]
[-0.41506215940434904, 0.9720981313587069]
[-0.9168880928801599, 1.463993222936935]
[-0.3481979896967203, 1.4589365276413002]
[-0.9284849106705674, 0.6009917468676483]
[-0.7384457760590452, 1.5511729450712703]
[-1.2121330381162292, 1.2104909743761418]
[-1.046659217211537, 0.4726083650364625]
[-1.1778164931643265, 0.6526517217153444]
[-1.3481231754435932, 0.6009917468676483]
[-0.4856314312993849, 1.8435814018233865]
[-0.17929049238338615, 1.150892763621783]
[-0.3147054667161853, 2.1640623464458812]
[-1.0577065946208213, 1.7587945133162421]
[-1.4097528489724744, 1.4488838173935767]
[-0.2625314805363214, 1.4488838173935767]
[-0.3326131259693403, 1.1316944604376058]
[-0.44634174083730904, 1.1934629141606108]
[-1.2114993852859028, 0.8558569930278916]
[-0.8458140336325131, 1.1316944604376058]
[-1.081258489036947, 1.1934629141606108]
[-0.4592279622230109, 1.2480003377879758]
[-1.3173837897887397, 1.0208603037940913]
[-1.2114993852859028, 1.6975775857265798]
[-0.845844524434421, 1.5482141686508413]
[-1.1282285002925443, 1.8462052224226349]
[-0.6702790607995611, 1.892187362555211]
[-0.4322377493893842, 1.278603215238266]
[-1.4097528489724744, 2.240331385383277]
[-0.8549131550738058, 1.0506516469661713]
[-0.8549131550738058, 0.8545124723028099]
[-0.4240233367878456, 1.91995949521246]
[-0.5027008299622151, 2.039447905777677]
[-1.4097528489724744, 2.1112185995770165]
[-1.4097528489724744, 1.4290177471421237]
[-0.22632520493232908, 1.0515624123645184]
[-0.2960455730025193, 1.4488838173935767]
[-0.2960455730025193, 2.005454204922185]
[-0.3073326157192604, 2.1984968682150665]
[-1.4097528489724744, 0.3948468900522039]
[-0.4322377493893842, 0.8131695693470837]
[-0.28437832256168977, 2.052035634501598]
[-1.4097528489724744, 1.2501237845277902]
[-0.22498180067364174, 1.4774909585556688]
[-1.4097528489724744, 2.0614209834800414]
[-1.2114993852859028, 1.9691600896546002]
[-1.4097528489724744, 1.2437550920064815]
[-1.4097528489724744, 1.4488838173935767]
[-0.6005376912953256, 1.4513894478757419]
[-0.24358881920122438, 1.32813939041072]
[-1.4097528489724744, 1.8436252132990694]
[-1.2124688891809008, 1.4298123899521817]
[-0.6218783971472064, 1.4290177471421237]
[-1.2022996129029848, 0.9751544498589306]
[-0.587398876307335, 1.4514750439481143]
[-0.31627152776361506, 1.7008217083097297]
