[-0.5029162597043927, 0.13704394174780066]
[-0.7475879827627373, 0.6205326995540167]
[-0.025886619977688832, 0.17995325670329637]
[-0.41566632326178693, 0.29679096475223393]
[-0.3600083535359986, 0.6265704051719743]
[0.286173847910039, 0.038182913992536836]
[-0.7475879827627373, -0.19376463075378023]
[-0.4895816507977129, 0.7767303565869494]
[-0.43821228072777446, 0.3597790642279811]
[-0.28325352279082283, 0.725165117656259]
[-0.7475879827627373, 0.3427698916287453]
[-0.7475879827627373, 0.6712409945214914]
[-0.41566632326178693, -0.02983545883391483]
[-0.08311809139178726, 0.24790659107823462]
[0.02759320381686305, 0.45901601205547504]
[-0.4308458583786574, 0.4596584726397652]
[-0.7475879827627373, 0.13704394174780066]
[-0.7475879827627373, 0.35987683461992925]
[-0.7475879827627373, 0.25430095688511045]
[-0.5541347232496758, -0.15351549350043595]
[-0.7475879827627373, 0.20747057000747623]
[-0.7475879827627373, 0.36095211339057615]
[-0.4155335014692696, 0.7865601003280582]
[-0.04986650000283783, 0.7526204990761294]
[-0.48913383420367484, -0.06506799727639336]
[-0.5173934572174009, 0.16470743753597006]
[-0.3757984448348714, 0.46011771744767266]
[-0.16649264049916873, 0.6414550320701208]
[-0.457040311630953, -0.2374842221386328]
[-0.3599973894729371, 0.702561496499811]
[-0.28326911455597226, 0.8668000218063838]
[-0.7475879827627373, 0.49047363566483065]
[-0.5538895353415478, 0.46162582971788063]
[-0.7475879827627373, 0.6492159990852784]
[-0.2000323716633748, 0.0912311981654831]
[-0.3437903434671773, 0.9048967245478586]
[-0.457410436052777, 0.24938240832272773]
[-0.7475879827627373, 0.6901179338606414]
[-0.7475879827627373, -0.14605778527015964]
[-0.7475879827627373, -0.14605778527015964]
[-0.7475879827627373, -0.030569470051466385]
[-0.24950626082253569, 0.2280285957264293]
[-0.04111344842456635, 0.39518894965968054]
[-0.040167566094045155, 0.21318050903421276]
[0.08868400979918085, 0.45901601205547504]
[0.026283433362872324, 0.7554034799957564]
[-0.25092529706737954, 0.5584254052986887]
[-0.12738575016673906, 0.8994227425864567]
[-0.7475879827627373, 0.8994227425864567]
[-0.16649264049916873, -0.029831761044405648]
